Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,,,
82.01.03.2037,,,,,,13,Naga,,,Perda No. 5/2004,,,,,,
,,,,,,,,,,,,,,,,
Ngawet,"Perda No. 5/2004, Menjadi wil. Kec. Ibu Selatan, Perda No.",,,,,,,,,,,,,,,
7/2005,,,,,,,,,,,,,,,,
,,,,Adu,,,"Perda No. 5/2004, Menjadi wil. Kec. Ibu Selatan, Perda No.",,,,,,,,,
,,,,,,,7/2005,,,,,,,,,
82.01.03.2040,,,,14,Soana Masungi,,Pemekaran Desa Tongute Sungi  Perda No. 11/2012,,,,,,,,,
82.01.03.2041,,,,15,Tongute Ternate,,Pemekaran Desa Tongute Ternate  Perda No. 11/2012,,,,,,,,,
,,,,,Selatan,,,,,,,,,,,
82.01.03.2042,,,,16,Ake Boso,,Pemekaran Desa Tongute Goin Perda No. 11/2012,,,,,,,,,
82.01.03.2043,,,,17,Kampung Baru,,Pemekaran Desa Gam Ici Perda No. 11/2012,,,,,,,,,
82.01.04,4,Sahu,-,,,19,,,,,,,,,,
82.01.04.2001,,,,1,Susupu,,,,,,,,,,,
82.01.04.2002,,,,2,Lako Akelamo,,,,,,,,,,,
82.01.04.2003,,,,3,Taruba,,,,,,,,,,,
82.01.04.2004,,,,4,Todahe,,,,,,,,,,,
82.01.04.2005,,,,5,Peot,,,,,,,,,,,
82.01.04.2006,,,,6,Sasur,,,,,,,,,,,
82.01.04.2007,,,,7,Goro goro,,,,,,,,,,,
82.01.04.2008,,,,8,Tacim,,,,,,,,,,,
82.01.04.2009,,,,9,Balisoang,,,,,,,,,,,
82.01.04.2010,,,,10,Worat-worat,,,,,,,,,,,
82.01.04.2011,,,,11,Tacici,,,,,,,,,,,
