Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,
,,,,,,,,Sihadatuon,,,,"Perda No. 9/2007, Menjadi wil. Kec. Suka Bangun, Perda No.",,
,,,,,,,,,,,,8/2007,,
,,,,,,,,Sihapas,,,,"Perda No. 9/2007, Menjadi wil. Kec. Suka Bangun, Perda No.",,
,,,,,,,,,,,,8/2007,,
,,,,,,,,Sihalogo,,,,"Perda No. 9/2007, Menjadi wil. Kec. Lumut, Perda No. 8/2007",,
,,,,,,,,Lumut Nauli,,,,"Perda No. 9/2007, Menjadi wil. Kec. Lumut, Perda No. 8/2007",,
,,,,,,,,Lumut Maju,,,,"Perda No. 9/2007, Menjadi wil. Kec. Lumut, Perda No. 8/2007",,
12.01.09,,,9,Sosorgadong,,1,,,8,,,Perbaikan nama sesuai BA No. 2826.a/BP/2017 Rapat,,
,,,,,,,,,,,,Penyusunan dan Validasi Data Wilayah tgl 30 Okt s/d 1 Nov 2017,,
12.01.09.1001,,,,,1,Sosor Gadong,,,,,,,,
12.01.09.2002,,,,,,,1,Unte Boang,,,,,,
12.01.09.2003,,,,,,,2,Sibintang,,,,,,
12.01.09.2004,,,,,,,3,Barambang,,,,,,
12.01.09.2005,,,,,,,4,Siantar Ca.,,,,,,
12.01.09.2006,,,,,,,5,Muara Bolak,,,,,,
12.01.09.2007,,,,,,,6,Huta Tombak,,,,,,
12.01.09.2008,,,,,,,7,Siantar Dolok,,,,,,
12.01.09.2009,,,,,,,8,Baringin,,,,,,
12.01.10,,,10,Sorkam Barat,,2,,,10,,,,,
12.01.10.1001,,,,,1,Sorkam Kanan,,,,,,Menjadi Kel. Perda No. 5/2002,,
12.01.10.2002,,,,,,,1,Sipea Pea,,,,,,
12.01.10.2003,,,,,,,2,Pahieme I,,,,,,
12.01.10.2004,,,,,,,3,Pasar Sorkam,,,,,,
,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,,,N A M A   /   J U M L A H,,,LUAS,JUMLAH,,,
,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
